ICNUM	CPNM	DESCRIPTION	IDC	BIO_E	HVSTI	BLAI	FRGRW1	LAIMX1	FRGRW2	LAIMX2	DLAI	CHTMX	RDMX	T_OPT	T_BASE	CNYLD	CPYLD	BN1	BN2	BN3	BP1	BP2	BP3	WSYF	USLE_C	GSI	VPDFR	FRGMAX	WAVP	CO2HI	BIOEHI	RSDCO_PL	OV_N	CN2A	CN2B	CN2C	CN2D	FERTFIELD	ALAI_MIN	BIO_LEAF	PHU	CNOP	LAI_INIT	BIO_INIT	CURYR_INIT
1	AGRL	Agricultural Land-Generic	4	33.5	0.45	3	0.15	0.05	0.5	0.95	0.64	1	2	30	11	0.0199	0.0032	0.044	0.0164	0.0128	0.006	0.0022	0.0018	0.25	0.2	0.005	4	0.75	8.5	660	36	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
2	AGRR	Agricultural Land-Row Crops	4	39	0.5	3	0.15	0.05	0.5	0.95	0.7	2.5	2	25	8	0.014	0.0016	0.047	0.0177	0.0138	0.0048	0.0018	0.0014	0.3	0.2	0.007	4	0.75	7.2	660	45	0.05	0.14	67	78	85	89	1	0	0	1500	1	0.1	10	10
3	AGRC	Agricultural Land-Close-grown	5	30	0.4	4	0.05	0.05	0.45	0.95	0.5	0.9	1.3	18	0	0.025	0.0022	0.0663	0.0255	0.0148	0.0053	0.002	0.0012	0.2	0.03	0.006	4	0.75	6	660	39	0.05	0.14	62	73	81	84	1	0	0	1500	1	0.1	10	10
4	ORCD	Orchard	7	15	0.1	4	0.1	0.15	0.5	0.75	0.99	3.5	2	20	7	0.0019	0.0004	0.006	0.002	0.0015	0.0007	0.0004	0.0003	0.05	0.001	0.007	4	0.75	3	660	20	0.05	0.15	45	66	77	83	1	0.75	0.3	1500	1	0.1	10	10
5	HAY	Hay	6	35	0.9	4	0.05	0.05	0.49	0.95	0.99	0.5	2	25	12	0.0234	0.0033	0.06	0.0231	0.0134	0.0084	0.0032	0.0019	0.9	0.003	0.005	4	0.75	10	660	36	0.05	0.3	31	59	72	79	1	0	0	1500	1	0.1	10	10
6	FRST	Forest-Mixed	7	15	0.76	5	0.05	0.05	0.4	0.95	0.99	6	3.5	30	10	0.0015	0.0003	0.006	0.002	0.0015	0.0007	0.0004	0.0003	0.01	0.001	0.002	4	0.75	8	660	16	0.05	0.1	36	60	73	79	0	0.75	0.3	1500	1	0.1	10	10
7	FRSD	Forest-Deciduous	7	15	0.76	5	0.05	0.05	0.4	0.95	0.99	6	3.5	30	10	0.0015	0.0003	0.006	0.002	0.0015	0.0007	0.0004	0.0003	0.01	0.001	0.002	4	0.75	8	660	16	0.05	0.1	45	66	77	83	0	0.75	0.3	1500	1	0.1	10	10
8	FRSE	Forest-Evergreen	7	15	0.76	5	0.15	0.7	0.25	0.99	0.99	10	3.5	30	0	0.0015	0.0003	0.006	0.002	0.0015	0.0007	0.0004	0.0003	0.6	0.001	0.002	4	0.75	8	660	16	0.05	0.1	25	55	70	77	0	0.75	0.3	1500	1	0.1	10	10
9	WETL	Wetlands-Mixed	6	47	0.9	6	0.1	0.2	0.2	0.95	0.7	2.5	2.2	25	12	0.016	0.0022	0.035	0.015	0.0038	0.0014	0.001	0.0007	0.9	0.003	0.005	4	0.75	8.5	660	54	0.05	0.05	49	69	79	84	0	0	0	1500	1	0.1	10	10
10	WETF	Wetlands-Forested	7	15	0.76	5	0.05	0.05	0.4	0.95	0.99	6	3.5	30	10	0.0015	0.0003	0.006	0.002	0.0015	0.0007	0.0004	0.0003	0.01	0.001	0.002	4	0.75	8	660	16	0.05	0.05	45	66	77	83	0	0	0	1500	1	0.1	10	10
